Trial Number,Vis Type,Participate Percent,Standard Percent,Basic Error
49,Tree Chart,22,29,0.07
44,Tree Chart,13,20,0.07
52,Pie Chart,25,18,0.07
51,Tree Chart,16,9,0.07
5,Tree Chart,99,93,0.06
16,Tree Chart,96,90,0.06
26,Bar Chart,80,86,0.06
12,Tree Chart,80,86,0.06
17,Tree Chart,85,79,0.06
3,Bar Chart,70,76,0.06
16,Bar Chart,80,74,0.06
36,Tree Chart,80,74,0.06
31,Tree Chart,80,74,0.06
43,Tree Chart,59,65,0.06
37,Bar Chart,70,64,0.06
12,Bar Chart,55,61,0.06
45,Tree Chart,65,59,0.06
17,Tree Chart,50,56,0.06
55,Bar Chart,45,51,0.06
20,Tree Chart,55,49,0.06
51,Tree Chart,50,44,0.06
57,Pie Chart,33,39,0.06
9,Pie Chart,30,36,0.06
23,Pie Chart,30,36,0.06
54,Tree Chart,25,31,0.06
21,Tree Chart,22,28,0.06
8,Pie Chart,20,26,0.06
20,Bar Chart,28,22,0.06
58,Pie Chart,15,21,0.06
25,Pie Chart,13,19,0.06
60,Tree Chart,10,16,0.06
14,Pie Chart,99,94,0.05
11,Pie Chart,99,94,0.05
57,Tree Chart,87,92,0.05
18,Tree Chart,95,90,0.05
56,Tree Chart,93,88,0.05
22,Pie Chart,90,85,0.05
34,Pie Chart,90,85,0.05
41,Tree Chart,80,85,0.05
42,Bar Chart,75,80,0.05
21,Pie Chart,85,80,0.05
49,Bar Chart,70,75,0.05
6,Bar Chart,80,75,0.05
43,Pie Chart,80,75,0.05
31,Tree Chart,80,75,0.05
25,Tree Chart,80,75,0.05
52,Tree Chart,75,70,0.05
43,Bar Chart,68,63,0.05
20,Bar Chart,58,63,0.05
31,Pie Chart,50,55,0.05
1,Pie Chart,50,55,0.05
46,Pie Chart,50,55,0.05
19,Tree Chart,50,55,0.05
40,Bar Chart,50,55,0.05
21,Tree Chart,60,55,0.05
6,Pie Chart,48,53,0.05
